,precision,recall,f1-score,support
0,0.9237199582027168,0.9285714285714286,0.9261393399685699,952.0
1,0.5671981776765376,0.2751381215469613,0.3705357142857143,905.0
2,0.7595419847328244,0.1960591133004926,0.3116679718089272,1015.0
3,0.6615120274914089,0.9009360374414976,0.7628797886393659,1282.0
4,0.896551724137931,0.3533980582524272,0.5069637883008357,515.0
5,0.7554502369668247,0.7883283877349159,0.771539206195547,1011.0
6,0.9962962962962963,0.2295221843003413,0.37309292649098474,1172.0
7,0.6482213438735178,0.5655172413793104,0.6040515653775322,580.0
8,0.2765957446808511,0.6004016064257028,0.37872070930968965,498.0
9,0.3346354166666667,0.5711111111111111,0.4220032840722496,900.0
10,0.42360780580675866,0.719482619240097,0.5332534451767525,1237.0
11,0.875,0.6984126984126984,0.776796973518285,441.0
accuracy,0.5780357822611344,0.5780357822611344,0.5780357822611344,0.5780357822611344
macro avg,0.6765275597110278,0.568906550643082,0.5614703927620378,10508.0
weighted avg,0.6784921643127593,0.5780357822611344,0.5624961463277375,10508.0
