,precision,recall,f1-score,support
0,0.9200635256749603,0.9132947976878613,0.9166666666666666,1903.0
1,0.8134615384615385,0.23357261181667588,0.36293436293436293,1811.0
2,0.44726166328600403,0.2173484475110892,0.29253731343283584,2029.0
3,0.6952861952861953,0.8053822152886115,0.7462956270328877,2564.0
4,0.7971014492753623,0.6401551891367604,0.7100591715976331,1031.0
5,0.874828060522696,0.9431537320810677,0.9077069457659372,2023.0
6,0.8543689320388349,0.4880546075085324,0.6212326907412435,2344.0
7,0.43159609120521175,0.6853448275862069,0.5296469020652899,1160.0
8,0.26486079759217457,0.35376884422110555,0.3029259896729776,995.0
9,0.23993319725366488,0.7187326292384658,0.3597662771285476,1799.0
10,0.9271047227926078,0.36484848484848487,0.5236300376920847,2475.0
11,0.8723958333333334,0.7604994324631101,0.8126137052759248,881.0
accuracy,0.5896740423507019,0.5896740423507019,0.5896740423507019,0.5896740423507019
macro avg,0.6781885005602154,0.5936796516156643,0.5905013075005325,21015.0
weighted avg,0.7027118578022229,0.5896740423507019,0.5952034687232014,21015.0
